index,B07[C-N],Se,F08[C-C],CATS2D_04_DL,CATS2D_02_DL,pEC50
0.0,1.0,42.04,8.0,9.0,1.0,8.032
1.0,1.0,38.39,9.0,9.0,1.0,7.638
2.0,1.0,36.28,8.0,9.0,1.0,7.509
3.0,1.0,35.5,8.0,9.0,1.0,7.469
4.0,1.0,37.04,8.0,9.0,1.0,7.469
5.0,1.0,36.47,8.0,9.0,1.0,7.337
6.0,1.0,35.69,8.0,9.0,1.0,7.114
7.0,1.0,34.17,9.0,9.0,1.0,7.108
8.0,1.0,38.17,10.0,9.0,1.0,7.081
9.0,1.0,37.25,9.0,9.0,1.0,6.721
10.0,1.0,45.25,13.0,9.0,3.0,6.658
11.0,1.0,36.51,8.0,8.0,1.0,6.638
12.0,1.0,41.27,10.0,9.0,1.0,6.638
13.0,1.0,40.81,12.0,9.0,3.0,6.337
14.0,1.0,34.29,12.0,9.0,1.0,5.921
15.0,1.0,32.62,8.0,9.0,1.0,5.638
16.0,1.0,33.51,11.0,9.0,1.0,5.62
17.0,1.0,35.73,8.0,8.0,1.0,5.377
18.0,1.0,34.4,9.0,8.0,1.0,5.357
19.0,0.0,30.51,8.0,10.0,3.0,5.108
20.0,1.0,32.06,9.0,8.0,1.0,4.886
21.0,1.0,36.07,8.0,7.0,1.0,4.509
22.0,0.0,28.41,8.0,9.0,1.0,4.092
23.0,0.0,28.92,8.0,9.0,1.0,4.066
